gene	log2(fold_change)	p_value
1700012B15Rik	0.177671	0.8825
Synj2	-0.0294781	0.8825
Dynlrb1	0.0265906	0.88255
Tbc1d17	0.0840833	0.88255
Ppfia1	-0.0251288	0.8826
3110070M22Rik	-0.159821	0.88265
Fam109a	0.0350807	0.88265
Trub1	-0.0358409	0.8828
Naa35	0.0281902	0.88295
Ube2j2	-0.0677864	0.88305
Tmem68	-0.0332713	0.8831
Efnb1	0.0301414	0.88315
Hilpda	0.0334207	0.88315
Specc1l	-0.0257099	0.88315
Usb1	-0.0344178	0.88325
Fam222b	-0.0295149	0.8834
Dtd1	-0.0359223	0.88345
Katnb1	-0.0381789	0.88345
Tlk1	-0.0262757	0.88345
Wdr45b	0.0265291	0.88345
2610020H08Rik	0.0585853	0.8835
Baz2b	0.0283041	0.88355
Cry1	0.0325634	0.88355
Lyrm2	-0.0335318	0.88355
Ggact	-0.0414619	0.8837
Cd99l2	-0.0264453	0.88375
Npl	-0.0712885	0.88385
Gm6402	0.16476	0.8839
Pim1	0.0262976	0.8839
Crcp	0.0303146	0.884
Tsc1	0.0281541	0.88415
Ahnak	-0.0536473	0.88425
Ift172	-0.0320959	0.88425
Rbm39	0.025713	0.88435
Fam57a	0.0481809	0.88455
Gm10532	-0.085981	0.8846
Sgpl1	0.0252677	0.88465
Prps2	0.0276021	0.88475
Ppil1	0.0304188	0.8848
Snora16a	-0.361395	0.88485
Ddhd2	-0.0280357	0.8849
1110046J04Rik	-0.183714	0.885
C920021L13Rik	-0.196172	0.885
Pml	-0.0267134	0.885
Gm10814	0.191485	0.88505
Tnrc6a	0.0254595	0.88505
Tmx3	-0.0257883	0.8851
Vta1	-0.0279664	0.8851
Ikzf5	-0.0270073	0.8852
Trmt2b	-0.0362728	0.8852
Dap	-0.0259151	0.88525
Rest	0.0278756	0.88525
Ccl27a	0.1344	0.8853
Tmem175	-0.0449238	0.8853
Ankdd1b	-0.0721605	0.8854
Kpna1	-0.0253266	0.88545
Krt80	-0.0611874	0.88545
Lpin3	-0.035886	0.88545
Def8	0.0273276	0.88555
Rbm38	0.0455873	0.88555
Tm2d2	0.0267137	0.88555
E030013I19Rik	-0.35957	0.8857
Frs2	-0.0257048	0.88575
Cables2	0.0310671	0.8858
Spata7	0.0442646	0.8858
Zfp672	-0.0595139	0.8858
Dmtf1	0.026613	0.8859
Serp1	0.0286669	0.8859
Acss2	0.0403837	0.88605
Tada2b	-0.0442337	0.88605
Ralgps1	-0.128028	0.8861
9930111J21Rik1	-0.0334162	0.8862
Gm11127	-0.0586804	0.8862
Pp2d1	-0.129203	0.88625
Trp53rk	0.0669235	0.8863
Actr1a	-0.024478	0.88635
Comt	-0.0276948	0.8864
Lcor	0.0639115	0.8864
Dcaf8	0.0258904	0.8866
Paqr3	0.142857	0.8866
Sqstm1	0.0279511	0.8866
Msl3	-0.0269923	0.8867
Slc25a28	-0.0339853	0.8867
Tceanc2	-0.0315894	0.8867
Emp2	0.0251179	0.88675
BC020402	0.0546042	0.88685
Pycr1	0.0416256	0.8869
Ccdc112	-0.0322928	0.88695
Tbca	0.0262233	0.88695
Cep63	-0.0339865	0.8871
Dbnl	0.024529	0.8872
Paox	-0.0361075	0.8875
AI480653	0.0267096	0.8876
Cfhr2	-0.0860758	0.8876
Supt4a	0.0291563	0.8876
Wwp1	0.0247234	0.8877
Arl3	0.0287221	0.88775
Ccndbp1	-0.0263276	0.88775
Polr2g	-0.0265746	0.88775
Zfp942	0.0342756	0.8878
Agtrap	0.0279868	0.8879
Gm10509	-0.0507298	0.8879
Gtf3c6	-0.0309642	0.8879
A930012L18Rik	0.144044	0.888
Atp6v1b2	0.0255055	0.888
Bag2	0.0254037	0.888
Mapkapk3	0.0350494	0.888
Abhd14a	-0.0361741	0.8881
AA415398	0.0616422	0.88815
Zdhhc7	0.0278272	0.8882
Dpyd	0.0424616	0.88825
Mtmr6	-0.0246549	0.8883
4933427D14Rik	0.0327374	0.88835
Ifitm2	0.0250899	0.88835
Impa1	0.0254372	0.8884
Raly	-0.0283985	0.8884
Ptpn9	-0.0247478	0.88845
Rgs20	0.0599528	0.88845
Bptf	-0.0253008	0.8886
Spag7	-0.0275464	0.8886
Rint1	0.0326905	0.8887
Cyp51	-0.0244104	0.88885
Zfp213	-0.0401184	0.8889
Dhrs13	-0.0459466	0.88895
Dtwd2	0.0515034	0.88895
1700029J07Rik	-0.0754647	0.88905
Ccdc12	-0.0306342	0.8891
Rpgr	-0.0540103	0.8891
Emc3	-0.0240615	0.8892
Slc25a25	0.0296758	0.88925
Zfp617	0.02842	0.88925
4930455F23Rik	-0.0401072	0.8893
B3gnt8	0.0459656	0.8893
Casc4	-0.0256635	0.8893
Gorasp1	-0.039308	0.8893
Sh3bp5l	0.0282346	0.8893
Crebrf	-0.0264696	0.88965
D930016D06Rik	-0.0393076	0.88965
Rpe	0.0304241	0.88965
Med19	0.0650992	0.8897
Tekt2	0.0462885	0.88975
Cramp1l	0.0296854	0.8898
Gm16702	-0.0624442	0.8898
Matk	-0.0857077	0.8898
Col5a2	0.0319519	0.88985
Heatr1	0.0272267	0.8899
1810026B05Rik	0.0700636	0.88995
Adamts18	0.0598713	0.88995
Skp1a	-0.0239423	0.88995
Lrch3	-0.0289568	0.89005
Thap6	-0.0780061	0.8901
Ppm1a	-0.0243693	0.89015
Mcts1	0.0270348	0.8902
Ly6e	-0.0248255	0.89025
Napa	-0.0253855	0.89025
Dnase1	0.423318	0.8903
Lage3	0.0324581	0.89035
Zfp607	-0.0445444	0.89035
Idh3g	-0.0248701	0.89045
Dync2h1	-0.0347377	0.8905
Morn2	0.399631	0.8905
Fkbp7	-0.0245724	0.89055
1700008J07Rik	0.0525772	0.8906
1700110K17Rik	0.354951	0.8906
Arhgef15	0.0621992	0.8906
Arhgef10	0.0257348	0.89065
Cwc27	0.0293181	0.89065
Tagap1	0.0349274	0.8907
Irf2	0.0297269	0.89085
Fam126b	-0.0299465	0.8909
Trim21	0.0459921	0.89095
2510002D24Rik	0.0433613	0.891
Gm17644	-0.0557858	0.891
Fosl1	-0.0667152	0.89105
Klhl5	-0.0258806	0.89105
Polm	-0.0300299	0.89105
Rrp8	0.0804721	0.8911
Scarna13	-0.194963	0.8912
Pno1	0.025445	0.89125
Atf1	0.0258508	0.8913
Fam103a1	-0.0255851	0.8914
3110057O12Rik	-0.0557956	0.8915
Homer1	0.0331061	0.8915
Ppdpf	-0.0281448	0.8917
Deaf1	0.0316576	0.8918
Mical2	-0.025212	0.8918
AA414768	-0.0359249	0.89185
Pcdhga12	-0.357765	0.89195
Reep2	-0.0391673	0.89195
Cnppd1	0.0249725	0.8921
Adck2	-0.0347602	0.89215
Gdf11	-0.0347242	0.8922
Kif7	-0.0342836	0.8922
Ogfod2	-0.0303997	0.89225
Pnma1	-0.0648947	0.89225
Ccl11	0.0616812	0.8923
Gmcl1	-0.0274756	0.8923
Necap1	-0.0255553	0.89235
Pcyt1a	0.0243054	0.89235
Pi4k2a	-0.0247501	0.8924
E030011O05Rik	-0.102887	0.89255
F8	0.0603119	0.89255
Psme4	0.0234701	0.89255
Ttl	0.0248475	0.89255
Cstf2t	0.0434344	0.8926
Myof	-0.0235094	0.8926
A130049A11Rik	-0.0733442	0.8927
Calm3	0.0237544	0.8927
Mkrn2	0.0603479	0.8928
Rxra	0.0250588	0.8929
Hmgcs2	0.0625986	0.89295
Kiss1r	0.0497122	0.89295
Yipf5	0.024452	0.89295
Bcl2l2	-0.024185	0.893
Zfp236	0.0260641	0.893
Airn	0.261529	0.89305
Rgl3	0.0329694	0.89315
Zranb3	0.0407364	0.89325
Cacng8	0.0574037	0.8933
Fam134a	0.0236178	0.8933
Ltbr	0.0231184	0.8933
Tmem138	0.0381967	0.8933
Bag5	0.0253663	0.89335
Fmo1	-0.0674096	0.89335
6330418K02Rik	-0.199285	0.8934
Fbxo38	0.0237735	0.8935
Anapc2	0.0235496	0.89355
Spast	0.0261083	0.8936
Tsta3	0.0267333	0.8936
Uggt1	0.0237284	0.8936
Rnf8	-0.028804	0.89365
Ifngr2	0.0245776	0.89375
4930563E22Rik	-0.105035	0.8938
Ddx26b	-0.0254642	0.89395
Zfp786	0.0610483	0.89405
B930041F14Rik	-0.0345629	0.89425
Trak1	-0.0252057	0.89425
Me3	-0.0287138	0.8943
Ormdl2	-0.0472165	0.8943
Pdgfa	0.0277387	0.89445
Vps9d1	-0.0305639	0.89445
N4bp1	0.0249647	0.8946
Spry4	0.0297075	0.89465
Zfp503	-0.0230667	0.89475
Ints12	-0.0312362	0.8949
Ppp2r2d	0.0245528	0.8949
Zfp507	-0.0251684	0.8949
Clvs2	-0.0521424	0.89495
Tsc22d1	0.0243962	0.89515
Gpc4	-0.0231394	0.8952
Brd1	0.0238785	0.89525
Gm15441	0.425498	0.89535
Gm2518	0.0791201	0.89535
Acyp2	0.0329228	0.8954
Fam188b	0.0514734	0.89545
Usp45	0.0276591	0.89555
Cdip1	0.0276467	0.8956
Fuz	-0.0851632	0.89565
2610020C07Rik	-0.253191	0.8957
4930528A17Rik	-0.295289	0.89575
Lin7c	0.0231173	0.89575
Ndel1	-0.0233475	0.89575
Tyrobp	-0.117653	0.89575
Trappc2l	-0.0283297	0.8959
Ftsjd2	0.0254632	0.89595
Bbx	0.0247277	0.89605
Ubxn8	-0.0489319	0.8961
Tnk2	-0.0230673	0.89615
Abcc10	0.0336743	0.89625
Gm13446	0.153712	0.89625
Spag4	0.0549477	0.89635
Camk2d	-0.0244472	0.89645
Rdx	0.0233942	0.89645
Pofut2	-0.0219912	0.89655
Ror2	-0.0252136	0.89655
Swt1	0.0309746	0.89655
Usp12	0.0244223	0.8966
Lrp8	0.0333895	0.89665
Hspa1l	-0.0624943	0.89675
Dcun1d4	0.0244034	0.8968
Gadd45gip1	0.0475508	0.8968
Vac14	0.0251345	0.8968
B4galt3	0.0274818	0.89705
Gm13476	0.169764	0.89705
Srp9	-0.0247181	0.89705
Crisp2	0.0851931	0.8971
Naga	-0.0272891	0.8971
Fhl3	0.0251171	0.89715
Zfp598	-0.0243419	0.89715
Gpatch2l	0.0243268	0.8972
Srebf2	-0.0230113	0.8972
Zfp706	0.022836	0.8972
4732471J01Rik	0.13276	0.89735
Dbp	-0.0633434	0.89735
Dusp5	0.048009	0.89735
Nlk	-0.0249085	0.8974
1110038F14Rik	0.0283748	0.8975
Dnajc7	0.0226163	0.89755
Man2a1	-0.0230743	0.89755
Morn4	0.0323216	0.8976
Uba2	0.0221651	0.8978
Amot	0.0258823	0.89785
Map1lc3a	-0.0231781	0.89785
Mmadhc	0.0229833	0.89785
Arc	-0.0634161	0.89805
Slc35b3	-0.0320821	0.8981
Scarb2	-0.0236056	0.89815
Suv420h1	-0.0242633	0.89815
Ywhag	0.0239492	0.8983
Fnip1	-0.0224574	0.89835
Cep44	-0.0324706	0.89845
Pcdhga7	-0.117714	0.89845
Ptov1	-0.0233534	0.89865
Cnpy2	-0.0231603	0.8987
Cybasc3	-0.0283009	0.8987
Rai2	0.0282216	0.8987
Nap1l1	0.0251287	0.89875
Ppp3cc	-0.0349433	0.8989
Efhc1	-0.0406569	0.89895
Nrcam	-0.05436	0.899
Otud1	-0.0334106	0.899
Fabp5	0.0304294	0.89905
Glud1	0.021941	0.89905
Hus1	0.0282078	0.8991
Med20	0.0261971	0.8991
Hdhd2	-0.0254127	0.89915
Lace1	0.0368676	0.89915
Dcun1d5	0.0228765	0.8993
Itfg3	0.0222936	0.8993
Znfx1	-0.0322414	0.8993
Dom3z	0.0325227	0.89935
Eno2	-0.0221361	0.89935
Pus7l	0.0361678	0.8994
Oma1	0.0318242	0.8996
Rassf8	-0.0230451	0.89965
Commd1	0.0313832	0.8997
Fxyd2	-0.0877417	0.8997
Cope	0.0221101	0.89985
Dctn3	-0.0227552	0.8999
Serpinb9	-0.0247502	0.8999
Foxo3	-0.0289207	0.9
Tnks2	0.0227382	0.90005
Zcchc24	-0.0228323	0.90005
Pfn4	-0.0835819	0.9001
Gna11	-0.0223305	0.9002
Hoxb8	-0.0507427	0.9002
Ttc32	-0.0488376	0.9002
Rab11fip5	-0.0237291	0.90025
Sin3b	0.0260873	0.90025
A230073K19Rik	-0.0770518	0.9003
Sfxn1	0.0231598	0.9003
Gcnt2	-0.0277342	0.90065
Leprot	-0.0215443	0.90075
Bola1	-0.0361248	0.9008
Cyp20a1	0.0241446	0.9008
Tgif1	0.0240508	0.9008
Dlg3	0.0231946	0.90085
Zfp128	0.0411523	0.90085
Nacad	0.0278902	0.9009
Tti2	0.0557188	0.9009
Hmgn3	0.0289221	0.90095
Acaa1b	-0.0646594	0.9012
Ptgfr	-0.0537895	0.9012
Cyth1	0.029733	0.9013
Wrap53	-0.0343386	0.9013
Nrp	0.348829	0.9014
Abcc4	-0.0286982	0.90145
Anapc10	-0.0306102	0.90145
Man1a	-0.0226285	0.90145
Ccdc114	-0.0464344	0.9015
Vps11	0.0231131	0.9015
Ecm2	-0.54602	0.9016
Plod3	0.0228477	0.9017
Ppp1r3e	0.0571718	0.9017
Lrrc1	-0.0344744	0.90185
Chek1	-0.0279954	0.90195
Herc4	0.022889	0.90195
Car6	0.0523196	0.9021
1700088E04Rik	-0.0598792	0.90215
Inpp4a	-0.0266311	0.90215
Endov	-0.0251504	0.9022
Nod1	-0.0270406	0.9022
Hsd17b1	-0.0716893	0.90225
Eps8l2	-0.0267527	0.9023
Mtf1	0.0330388	0.9023
C330007P06Rik	0.0226758	0.90235
Helz	-0.0249584	0.90235
Dus4l	-0.0402205	0.90245
Zfp652	-0.0262879	0.90245
Esr1	0.021192	0.90255
Ptch1	-0.0322373	0.9027
Arvcf	-0.0821121	0.90275
Cap2	-0.0293604	0.90285
Atp7a	0.0250453	0.9029
Tnrc6b	-0.0225312	0.9029
Tmem108	-0.0605096	0.90295
Zfp512	-0.0251629	0.90295
Wdr78	0.0488386	0.90305
Med27	-0.0275693	0.90315
Prkab1	0.0254925	0.90315
Fam92a	-0.0225902	0.9032
Txnl4b	-0.0378203	0.9032
Ankrd27	0.0248285	0.9033
Zbtb8os	0.0304515	0.9033
Zfpl1	-0.0252171	0.9033
Plekhh1	-0.0979565	0.90335
Dpp7	0.0227329	0.9034
Tmcc1	0.0242417	0.9034
Man2a2	-0.0226216	0.90355
Tmem38a	0.0270553	0.90365
Uvrag	0.0236874	0.9037
Mgst3	-0.0334195	0.90375
B3gnt4	-0.233856	0.9038
Etfb	-0.0219348	0.9039
Plcl2	-0.0465227	0.9039
Pdzd8	-0.0212038	0.90395
Slc25a24	-0.0217258	0.90395
Zmat5	0.0319214	0.90395
Acacb	0.0457068	0.904
Fndc3b	0.0216323	0.90415
LOC100503496	-0.14483	0.9042
Brix1	0.0229801	0.9043
Ttc30b	-0.0324435	0.9043
Txnl1	0.0208684	0.9043
Ugt1a6b	-0.0546566	0.9043
B3gat3	-0.0244824	0.9044
Nfatc2ip	0.0316722	0.9044
Stxbp3b	0.0777416	0.9044
Ddx17	-0.0256674	0.90445
2310039L15Rik	-0.0756343	0.9045
Sh3bp1	0.023967	0.90455
Sf3b5	0.0226666	0.90465
9130023H24Rik	-0.0564139	0.90475
Dip2b	-0.024643	0.90475
Pcdhb12	-0.405684	0.90475
Acsl3	-0.0253057	0.9049
Zfand2a	0.0216902	0.90495
Cend1	0.0366759	0.905
Ift43	0.0264533	0.905
Tesk2	-0.0512641	0.90505
Dennd5b	0.0270791	0.9052
Stx17	-0.02291	0.9052
Tmod1	-0.0533628	0.9053
Mettl15	0.0414309	0.90535
Commd10	-0.0241238	0.9054
2610015P09Rik	0.0402289	0.90555
Dnaja2	0.0204412	0.9056
Rnf25	-0.023583	0.9056
Pgrmc1	0.0210491	0.90565
Prr13	0.0218237	0.90565
Scai	0.0247142	0.90565
Syngr3	0.0593102	0.90565
Hps3	0.0286765	0.9057
Fert2	0.02278	0.90575
Nrd1	0.0300175	0.9058
Gmppa	-0.0227059	0.9059
Dear1	0.186642	0.906
Fbxo36	-0.0549456	0.9061
Dus1l	-0.0242691	0.9062
Snapc5	0.0319663	0.9062
Trafd1	0.0223007	0.9062
2010003O02Rik	-0.10538	0.9063
Dzip1l	0.0217068	0.9063
Greb1l	-0.0359385	0.90645
Ascc3	-0.0216134	0.9066
Cdkn2aip	0.02511	0.9066
Gm15800	-0.0231328	0.9066
Stat6	-0.0301571	0.9066
Nudt3	0.0211245	0.9067
Tnfrsf10b	0.0219404	0.9067
Ube2q1	0.0214177	0.9069
Tyw5	0.0374684	0.90695
Prss36	-0.0350979	0.907
2810405F15Rik	0.0640164	0.90705
2900002K06Rik	0.0400882	0.9072
Cercam	-0.0217641	0.9072
Pbld1	-0.0536037	0.90725
Srsf6	-0.0204408	0.90725
Aldh9a1	0.0224919	0.90735
Cnot8	0.0209622	0.90735
Saal1	-0.0266758	0.90735
Vps52	-0.0215164	0.90735
Parp6	0.0272285	0.9074
Zbed6	0.0344919	0.90745
Ercc8	0.0347292	0.9075
Has2as	0.202701	0.9075
Uprt	-0.0333086	0.90755
Raver2	-0.274803	0.9076
Zmym5	0.0230466	0.9076
Arxes2	-0.0305978	0.9077
Mtor	0.0213391	0.9078
Dok1	0.0240391	0.90785
Gm16861	0.268485	0.90785
AI597479	-0.0224962	0.9079
Mier3	-0.0229111	0.90795
Pcdha12	-0.268688	0.90795
Wdr18	0.0227381	0.908
Immp1l	0.02452	0.9082
Hacl1	-0.0332172	0.90825
Ncstn	-0.0422156	0.9083
Neurl2	-0.167363	0.9083
Trappc13	-0.0223982	0.9083
Gm16062	-0.145339	0.90835
Stx5a	-0.020671	0.90835
Stac3	-0.064619	0.90845
Map3k3	-0.0210027	0.9085
Gm6654	-0.284856	0.90855
Mrps7	-0.0223796	0.9086
Ndufb8	0.0208397	0.9087
Adal	0.0275017	0.90875
2610507I01Rik	0.0572122	0.9089
Exosc6	0.134486	0.9089
Fgf1	-0.0698679	0.909
Maea	-0.0198175	0.909
Btbd7	0.0210681	0.9091
Hadha	0.0209448	0.9091
Bag1	0.0202954	0.9092
Csnk1a1	-0.0197654	0.90925
Nrip2	0.04959	0.9093
Zfp207	-0.0195249	0.9093
1110059E24Rik	-0.0235542	0.90935
Trim62	-0.0364811	0.90935
Reep3	0.0196696	0.9096
Rab2b	0.0386103	0.90965
Prkx	0.0238666	0.9097
Rtkn	0.0271236	0.9097
Snurf	-0.111154	0.9097
Tbc1d23	-0.0213967	0.9097
Cd209c	-0.0552826	0.90975
Dctn4	0.0199395	0.90975
Dnajb14	-0.0256364	0.90975
Osbpl9	-0.0281537	0.9098
Acadm	-0.0213908	0.90985
G630090E17Rik	0.0624443	0.90985
Prickle3	0.0492184	0.90985
Ik	0.0202276	0.9099
Ednra	-0.0222301	0.90995
Rasl10a	-0.302055	0.90995
Smarcd2	0.0203343	0.91
Stk40	0.0205273	0.91
D030025P21Rik	-0.0695634	0.91005
Mms19	-0.023909	0.91005
Lmbrd2	-0.0264191	0.9101
2210408I21Rik	-0.0423008	0.9102
Hyou1	0.0192799	0.9102
Ppp6r1	-0.0199662	0.9102
Sprtn	-0.025368	0.9102
Tnnt1	-0.0707589	0.9102
Scrib	0.0215092	0.91025
Acvr2b	-0.0555153	0.9103
Heatr2	0.0244508	0.9103
Iba57	-0.0374868	0.9103
Xrcc3	0.116113	0.9103
Exosc9	0.0405692	0.91045
R3hdm2	-0.0207107	0.9105
8030462N17Rik	-0.0255657	0.91055
Hk1	0.0204332	0.9106
Mri1	-0.0291257	0.9106
Gucy2g	0.0566093	0.91085
Thoc5	-0.02126	0.9109
1810022K09Rik	-0.0246346	0.91095
Mlh3	0.0229588	0.911
Ephx2	0.0358039	0.9112
Ambra1	0.0214774	0.91125
Agxt2l2	-0.128536	0.9113
Ap2b1	0.0196651	0.9113
Rasl12	-0.0538664	0.9113
Taf6	-0.0243873	0.9113
Pias4	0.0243695	0.91135
2610306M01Rik	-0.0422979	0.91145
Tars	0.0193887	0.9115
Plxna4	0.0314499	0.91155
Bhlhe40	-0.0205249	0.9117
Surf1	-0.076845	0.9117
Zfp444	0.0281522	0.91175
Tlk2	0.0203226	0.9119
Zfp784	-0.0420511	0.9119
Cuedc2	0.0217145	0.91195
Gm15787	0.153709	0.91195
Hddc2	-0.0243564	0.91195
Chml	0.0229999	0.912
Ndufaf5	0.0275405	0.912
Setd4	0.0387032	0.91215
Zbtb44	-0.0222032	0.91215
Ccz1	-0.0198844	0.91225
Trio	0.0197219	0.91235
Dusp22	-0.0362611	0.9124
Tmem60	0.0282663	0.9124
Myeov2	-0.0209217	0.9125
2310035C23Rik	0.0206903	0.91255
Slc35a4	0.0214702	0.9126
Irf2bp2	0.0201115	0.91265
Mrps25	-0.0255678	0.91265
Nme3	-0.0610925	0.91265
2410018M08Rik	0.040538	0.91275
Dnm3	0.147133	0.91275
Fnbp1	-0.0202963	0.913
Polr3h	-0.0523455	0.91305
Zfp775	-0.0359756	0.91305
Tmod3	0.0194415	0.91315
Fam76a	0.0206187	0.9132
Ndufb10	0.0200747	0.9132
Trnt1	-0.0307568	0.9132
Ndufs3	0.0205833	0.91325
Ctage5	-0.0189732	0.9133
Pilra	0.057966	0.9133
Gatm	-0.0479523	0.9134
Epc1	-0.0264174	0.9135
Wdr45	-0.0229678	0.9135
Ahcyl2	0.0229361	0.91365
Pvrl2	0.0199974	0.91375
Sh3bp2	0.0273035	0.91375
Sirt1	-0.023766	0.9138
Commd8	-0.0199877	0.91385
Eral1	0.0261704	0.9139
Kif2a	0.0193804	0.9139
Tbc1d10a	-0.0226239	0.914
Eif4g2	-0.0242953	0.91415
Mycbpap	-0.0534144	0.91415
Stau2	0.0232	0.91415
Atr	0.0217618	0.91425
Rchy1	-0.0212163	0.9143
H2-Eb1	0.0630724	0.91435
Rapgef1	0.0188058	0.91435
Tmem5	-0.0196195	0.91435
Fgfr3	0.0461817	0.91445
Rpgrip1l	0.029013	0.91445
Gm166	0.0374287	0.9145
Mterfd3	0.034101	0.9145
Hgs	-0.0191228	0.91455
Pds5a	0.019624	0.9146
2410076I21Rik	0.251607	0.91465
Jak3	-0.0308634	0.91465
P4hb	0.021881	0.9147
Ube2w	0.0191933	0.9147
Emc4	-0.0279151	0.9148
Nsun3	0.043335	0.91485
4833420G17Rik	0.0204297	0.9149
Egfl8	0.223753	0.9149
Lsp1	-0.0203354	0.9149
Ddx42	-0.0188151	0.91495
Surf2	-0.0843443	0.91495
Nemf	0.0203294	0.9152
Nkx6-2	-0.0938003	0.9153
Tymp	-0.181178	0.9153
4930592A05Rik	-0.0865029	0.91535
Rsbn1l	-0.0237383	0.91535
Cyp26b1	-0.039576	0.9154
1810019D21Rik	0.108406	0.91555
Aif1	0.0549629	0.91555
Lyplal1	0.0253279	0.9156
Gm11201	-0.104978	0.91565
Lpgat1	0.0187273	0.91565
Fbxo6	-0.0209474	0.91575
Trp53i13	0.0284797	0.91575
Emc7	-0.0191819	0.9158
Ints8	0.0207548	0.9158
Zbed3	-0.0209211	0.9158
Boc	-0.0191217	0.91585
D630037F22Rik	0.0336785	0.9159
Slc10a3	-0.0228972	0.91595
Ehd2	-0.0182002	0.916
Sumf1	-0.0187789	0.91605
Armcx5	-0.0366294	0.9161
Zfp369	-0.0252278	0.9161
Adam8	-0.0480251	0.91615
Neil1	-0.0337691	0.9162
4933434E20Rik	0.0205516	0.9163
Eml5	0.0405196	0.9163
Rdh13	0.0221862	0.9164
Cotl1	-0.0242032	0.91645
Ldlrad4	-0.0241203	0.91645
Pgam1	0.0207556	0.9165
Cnot10	0.0203981	0.91655
G630025P09Rik	0.0507038	0.91655
Fez1	-0.0194132	0.9167
Casp7	-0.0294422	0.9169
Suclg1	-0.0192399	0.91695
Vamp4	0.024518	0.91695
Golph3l	0.0201137	0.9171
Phc3	0.0190407	0.9171
Sh3glb2	-0.0204248	0.9171
3110007F17Rik	-0.0483025	0.91715
BC030307	0.0541608	0.91715
Nap1l5	-0.147041	0.91715
Hpse	0.0403349	0.9172
Ndufb3	-0.020406	0.91725
Ccdc37	-0.0401507	0.9173
Raf1	-0.0197943	0.9173
Dnalc4	0.0226333	0.91735
Pigv	-0.0339054	0.9174
Tspan7	-0.0250123	0.91745
Hmg20a	-0.0188528	0.9175
Nsa2	0.0184502	0.9175
1500017E21Rik	0.045006	0.91755
Sbk1	-0.0234066	0.91755
Calml4	0.0356938	0.9179
Gne	0.0245448	0.91795
Rmnd5b	-0.0305075	0.918
Zfp949	-0.0285164	0.918
1600012H06Rik	-0.0298851	0.91805
1700120C14Rik	-0.277232	0.91835
Ccdc90a	-0.0224978	0.91835
1600020E01Rik	-0.0437328	0.9184
Adprh	0.018415	0.9185
Itgb3bp	-0.0333562	0.9185
Slc16a10	-0.0371032	0.9185
Cdk8	-0.0195929	0.91855
Ccdc132	-0.0198665	0.9186
Rfxap	-0.0261039	0.9187
Gata2	0.0184506	0.91875
Pcdha5	-0.277995	0.9188
Far2	-0.319841	0.91885
Adm2	-0.0243237	0.9189
Mmp19	0.0249493	0.9189
Rpl30	0.0982586	0.9189
Tram1l1	0.0420416	0.9189
Tcirg1	-0.0197911	0.919
Sp2	0.0269484	0.91905
Vps13c	-0.0208011	0.91905
Zfp963	0.0384043	0.91905
Twsg1	-0.0175936	0.9191
Nthl1	-0.0321498	0.91915
Adcy6	0.0185778	0.9192
Gareml	-0.107714	0.9192
Sycp3	-0.153658	0.9192
Zfp800	-0.0223062	0.9192
Zfp39	-0.0321797	0.91925
Atmin	-0.0215806	0.9194
Pcdhb3	-0.249306	0.9194
Snord22	0.178521	0.9194
Sqrdl	-0.0179608	0.9194
Casc3	0.0263327	0.9195
Coa4	0.0331313	0.9195
Dnajc17	-0.0412702	0.9195
Gm13826	-0.0487085	0.9195
Gm11517	0.254766	0.9196
1810014B01Rik	-0.0418657	0.9197
Hnrnpa1	0.0403262	0.9197
Itpk1	0.0269181	0.91975
Traf6	0.0209026	0.91975
Ftsj2	0.0301918	0.91985
0610040B10Rik	-0.062733	0.9199
Zfp605	0.0270584	0.91995
Tecr	0.0182632	0.9201
9530027J09Rik	-0.0538042	0.92025
Solh	-0.0226426	0.92025
Synj1	0.029746	0.92025
Mrpl41	0.0264188	0.92035
Pbx3	0.0206909	0.9204
Artn	-0.0388433	0.92045
Ncoa1	-0.022331	0.92045
Pxn	-0.0178556	0.92045
Pex11b	0.0243113	0.9205
Ubl5	0.0182392	0.9205
Ift27	0.0244969	0.9206
Anapc5	-0.0177632	0.9207
Bysl	0.0291031	0.9207
Zbtb6	0.0221736	0.92075
Ccdc57	-0.0390005	0.9208
Serpinb9b	0.0175898	0.9209
Zfp418	0.0413737	0.9209
Lrch4	0.0271206	0.92095
Alg8	-0.0253259	0.9211
Gtf2i	0.0167416	0.92115
Oxsr1	0.018156	0.92115
Wdr54	0.0366984	0.92115
Armc7	-0.055833	0.9212
Snx17	-0.0177665	0.9212
Sptan1	0.0182086	0.9212
Cct4	-0.0179463	0.92125
Bod1l	-0.0184949	0.9213
Elk3	-0.0171633	0.9213
Rpain	-0.0614288	0.92135
Rabepk	-0.0232098	0.9214
Arhgef25	-0.0170373	0.92145
Psg23	-0.0515877	0.92145
Anxa6	-0.0178633	0.9215
Jph1	-0.034497	0.92155
Rangrf	0.0280662	0.92155
Pde12	0.0198085	0.92165
Spire1	0.0183105	0.9217
Apool	0.0242909	0.92175
Ighmbp2	0.0232476	0.92175
Acaa2	-0.0178881	0.92195
Capn2	-0.0174944	0.92195
Psmg4	-0.0277005	0.922
Serinc5	-0.0184872	0.92205
3110056K07Rik	0.138849	0.9221
Clock	-0.018068	0.9221
Sycp1	-0.0453522	0.92215
Cideb	0.0992552	0.9222
Rapgef2	0.0187768	0.9222
AW549877	-0.0168804	0.92235
Rxrb	0.0186778	0.9224
Mfn1	0.0183971	0.92245
